time_sec,distance_cm,label
56.33,52,sedentary
56.53,52,sedentary
56.73,52,sedentary
56.93,52,sedentary
57.13,51,sedentary
57.33,52,sedentary
57.53,52,sedentary
57.73,51,sedentary
57.93,52,sedentary
58.13,56,sedentary
58.33,52,sedentary
58.53,52,sedentary
58.73,52,sedentary
58.93,52,sedentary
59.13,52,sedentary
59.33,52,sedentary
59.53,52,sedentary
59.73,52,sedentary
59.93,52,sedentary
60.13,52,sedentary
60.33,52,sedentary
60.53,52,sedentary
60.73,51,sedentary
60.93,51,sedentary
61.13,52,sedentary
61.33,52,sedentary
61.53,52,sedentary
61.73,52,sedentary
61.93,52,sedentary
62.13,52,sedentary
62.33,53,sedentary
62.53,52,sedentary
62.73,53,sedentary
62.93,52,sedentary
63.13,52,sedentary
63.33,52,sedentary
63.53,53,sedentary
63.73,53,sedentary
63.93,54,sedentary
64.13,53,sedentary
64.33,55,sedentary
64.53,55,sedentary
64.73,54,sedentary
64.93,54,sedentary
65.13,54,sedentary
65.33,54,sedentary
65.53,53,sedentary
65.73,53,sedentary
65.93,53,sedentary
66.13,53,sedentary
66.33,54,sedentary
66.53,54,sedentary
66.73,54,sedentary
66.93,54,sedentary
67.13,54,sedentary
67.33,54,sedentary
67.53,53,sedentary
67.73,53,sedentary
67.93,53,sedentary
68.13,53,sedentary
68.33,53,sedentary
68.53,53,sedentary
68.73,53,sedentary
68.93,53,sedentary
69.13,53,sedentary
69.33,53,sedentary
69.53,53,sedentary
69.73,54,sedentary
69.93,53,sedentary
70.13,54,sedentary
70.33,53,sedentary
70.53,53,sedentary
70.73,53,sedentary
70.93,53,sedentary
71.13,53,sedentary
71.33,53,sedentary
71.53,53,sedentary
71.73,53,sedentary
71.93,53,sedentary
72.13,53,sedentary
72.33,53,sedentary
72.53,53,sedentary
72.73,53,sedentary
72.93,53,sedentary
73.13,53,sedentary
73.33,53,sedentary
73.53,54,sedentary
73.73,53,sedentary
73.93,53,sedentary
74.13,53,sedentary
74.33,52,sedentary
74.53,52,sedentary
74.73,53,sedentary
74.93,53,sedentary
75.13,52,sedentary
75.33,52,sedentary
75.53,52,sedentary
75.73,52,sedentary
75.93,52,sedentary
76.13,52,sedentary
76.33,51,sedentary
76.53,51,sedentary
76.73,51,sedentary
76.93,51,sedentary
77.13,51,sedentary
77.33,51,sedentary
77.53,51,sedentary
77.73,51,sedentary
77.93,52,sedentary
78.13,52,sedentary
78.33,51,sedentary
78.53,51,sedentary
78.73,51,sedentary
78.93,51,sedentary
79.13,51,sedentary
79.33,51,sedentary
79.53,51,sedentary
79.73,51,sedentary
79.93,51,sedentary
80.13,51,sedentary
80.33,51,sedentary
80.53,51,sedentary
80.73,51,sedentary
80.93,51,sedentary
81.13,51,sedentary
81.33,51,sedentary
81.53,51,sedentary
81.73,51,sedentary
81.93,51,sedentary
82.13,51,sedentary
82.33,51,sedentary
82.53,51,sedentary
82.73,52,sedentary
82.93,52,sedentary
83.13,52,sedentary
83.33,52,sedentary
83.53,53,sedentary
83.73,53,sedentary
83.93,53,sedentary
84.13,53,sedentary
84.33,53,sedentary
84.53,53,sedentary
84.73,52,sedentary
84.93,51,sedentary
85.13,51,sedentary
85.33,51,sedentary
85.53,51,sedentary
85.73,51,sedentary
85.93,51,sedentary
86.13,51,sedentary
86.33,51,sedentary
86.53,51,sedentary
86.73,51,sedentary
86.93,51,sedentary
87.13,52,sedentary
87.33,51,sedentary
87.53,51,sedentary
87.73,52,sedentary
87.93,52,sedentary
88.13,52,sedentary
88.33,53,sedentary
88.53,52,sedentary
88.73,53,sedentary
88.93,53,sedentary
89.13,53,sedentary
89.33,53,sedentary
89.53,53,sedentary
89.73,53,sedentary
89.93,53,sedentary
90.13,53,sedentary
90.33,53,sedentary
90.53,53,sedentary
90.73,53,sedentary
90.93,53,sedentary
91.13,53,sedentary
91.33,53,sedentary
91.53,52,sedentary
91.73,52,sedentary
91.93,52,sedentary
92.13,52,sedentary
92.33,53,sedentary
92.53,53,sedentary
92.73,53,sedentary
92.93,54,sedentary
93.13,54,sedentary
93.33,53,sedentary
93.53,54,sedentary
93.73,54,sedentary
93.93,56,sedentary
94.13,55,sedentary
94.33,55,sedentary
94.53,54,sedentary
94.73,54,sedentary
94.93,52,sedentary
95.13,52,sedentary
95.33,52,sedentary
95.53,53,sedentary
95.73,52,sedentary
95.93,52,sedentary
96.13,51,sedentary
96.33,51,sedentary
96.53,51,sedentary
96.73,52,sedentary
96.93,52,sedentary
97.13,52,sedentary
97.33,53,sedentary
97.53,53,sedentary
97.73,53,sedentary
97.93,54,sedentary
98.13,54,sedentary
98.33,55,sedentary
98.53,54,sedentary
98.73,55,sedentary
