mean_distance,std_distance,range_distance,rate_of_change,presence_duration,label
51.2,0.4,1,0.2222222222222222,2.0,sedentary
51.1,0.3,1,0.1111111111111111,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.2,0.4,1,0.1111111111111111,2.0,sedentary
52.0,0.7745966692414834,2,0.2222222222222222,2.0,sedentary
52.5,0.6708203932499369,2,0.3333333333333333,2.0,sedentary
51.7,0.9,2,0.2222222222222222,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.3,0.45825756949558405,1,0.3333333333333333,2.0,sedentary
52.1,0.7,2,0.5555555555555556,2.0,sedentary
52.8,0.4,1,0.3333333333333333,2.0,sedentary
