time_sec,distance_cm,label
57.15,-1,not_present
57.35,-1,not_present
57.55,-1,not_present
57.75,-1,not_present
57.95,-1,not_present
58.15,-1,not_present
58.35,-1,not_present
58.55,-1,not_present
58.75,-1,not_present
58.95,-1,not_present
59.15,-1,not_present
59.35,-1,not_present
59.55,-1,not_present
59.75,-1,not_present
59.96,-1,not_present
60.16,-1,not_present
